application_id,is_fraud,historical_action
APP-00864,1,Fraud confirmed
APP-00865,1,Fraud confirmed
APP-00866,1,Fraud confirmed
APP-00867,1,Fraud confirmed
APP-00868,1,Fraud confirmed
APP-00869,1,Fraud confirmed
APP-00870,1,Fraud confirmed
APP-00871,1,Fraud confirmed
APP-00872,1,Fraud confirmed
APP-00873,1,Fraud confirmed
APP-00874,1,Fraud confirmed
APP-00875,0,No fraud found
APP-00876,0,No fraud found
APP-00877,0,No fraud found
APP-00878,0,No fraud found
APP-00879,1,Fraud confirmed
APP-00880,1,Fraud confirmed
APP-00881,1,Fraud confirmed
APP-00882,1,Fraud confirmed
APP-00883,0,No fraud found
APP-00884,0,No fraud found
APP-00885,1,Fraud confirmed
APP-00886,0,No fraud found
APP-00887,1,Fraud confirmed
APP-00888,0,No fraud found
APP-00889,1,Fraud confirmed
APP-00890,1,Fraud confirmed
APP-00891,1,Fraud confirmed
APP-00892,1,Fraud confirmed
APP-00893,1,Fraud confirmed
APP-00894,1,Fraud confirmed
APP-00895,1,Fraud confirmed
APP-00896,1,Fraud confirmed
APP-00897,1,Fraud confirmed
APP-00898,1,Fraud confirmed
APP-00899,1,Fraud confirmed
APP-00900,1,Fraud confirmed
APP-00901,0,No fraud found
APP-00902,0,No fraud found
APP-00903,1,Fraud confirmed
APP-00904,1,Fraud confirmed
APP-00905,0,No fraud found
APP-00906,1,Fraud confirmed
APP-00907,1,Fraud confirmed
APP-00908,1,Fraud confirmed
APP-00909,1,Fraud confirmed
APP-00910,1,Fraud confirmed
APP-00911,1,Fraud confirmed
APP-00912,1,Fraud confirmed
APP-00913,1,Fraud confirmed
APP-00914,1,Fraud confirmed
APP-00915,1,Fraud confirmed
APP-00916,1,Fraud confirmed
APP-00917,0,No fraud found
APP-00918,1,Fraud confirmed
APP-00919,1,Fraud confirmed
APP-00920,1,Fraud confirmed
APP-00921,1,Fraud confirmed
APP-00922,1,Fraud confirmed
APP-00923,0,No fraud found
APP-00924,0,No fraud found
APP-00925,1,Fraud confirmed
APP-00926,0,No fraud found
APP-00927,1,Fraud confirmed
APP-00928,0,No fraud found
APP-00929,1,Fraud confirmed
APP-00930,1,Fraud confirmed
APP-00931,1,Fraud confirmed
APP-00932,1,Fraud confirmed
APP-00933,1,Fraud confirmed
APP-00934,0,No fraud found
APP-00935,1,Fraud confirmed
APP-00936,0,No fraud found
APP-00937,1,Fraud confirmed
APP-00938,1,Fraud confirmed
APP-00939,0,No fraud found
APP-00940,1,Fraud confirmed
APP-00941,1,Fraud confirmed
APP-00942,1,Fraud confirmed
APP-00943,1,Fraud confirmed
APP-00944,0,No fraud found
APP-00945,1,Fraud confirmed
APP-00946,1,Fraud confirmed
APP-00947,0,No fraud found
APP-00948,0,No fraud found
APP-00949,0,No fraud found
APP-00950,1,Fraud confirmed
APP-00951,0,No fraud found
APP-00952,1,Fraud confirmed
APP-00953,1,Fraud confirmed
APP-00954,1,Fraud confirmed
APP-00955,1,Fraud confirmed
APP-00956,1,Fraud confirmed
APP-00957,1,Fraud confirmed
APP-00958,1,Fraud confirmed
APP-00959,1,Fraud confirmed
APP-00960,1,Fraud confirmed
APP-00961,0,No fraud found
APP-00962,1,Fraud confirmed
APP-00963,1,Fraud confirmed
APP-00964,1,Fraud confirmed
APP-00965,1,Fraud confirmed
APP-00966,0,No fraud found
APP-00967,0,No fraud found
APP-00968,1,Fraud confirmed
APP-00969,1,Fraud confirmed
APP-00970,0,No fraud found
APP-00971,1,Fraud confirmed
APP-00972,1,Fraud confirmed
APP-00973,0,No fraud found
APP-00974,1,Fraud confirmed
APP-00975,1,Fraud confirmed
APP-00976,0,No fraud found
APP-00977,1,Fraud confirmed
APP-00978,1,Fraud confirmed
APP-00979,1,Fraud confirmed
APP-00980,0,No fraud found
APP-00981,1,Fraud confirmed
APP-00982,1,Fraud confirmed
APP-00983,0,No fraud found
APP-00984,1,Fraud confirmed
APP-00985,1,Fraud confirmed
APP-00986,1,Fraud confirmed
APP-00987,1,Fraud confirmed
APP-00988,0,No fraud found
APP-00989,1,Fraud confirmed
APP-00990,1,Fraud confirmed
APP-00991,1,Fraud confirmed
APP-00992,1,Fraud confirmed
APP-00993,1,Fraud confirmed
APP-00994,0,No fraud found
APP-00995,1,Fraud confirmed
APP-00996,1,Fraud confirmed
APP-00997,1,Fraud confirmed
APP-00998,1,Fraud confirmed
APP-00999,1,Fraud confirmed
APP-01000,1,Fraud confirmed
APP-01001,1,Fraud confirmed
APP-01002,1,Fraud confirmed
APP-01003,1,Fraud confirmed
APP-01004,1,Fraud confirmed
APP-01005,0,No fraud found
APP-01006,1,Fraud confirmed
APP-01007,1,Fraud confirmed
APP-01008,0,No fraud found
APP-01009,1,Fraud confirmed
APP-01010,1,Fraud confirmed
APP-01011,1,Fraud confirmed
APP-01012,1,Fraud confirmed
APP-01013,0,No fraud found
APP-01014,1,Fraud confirmed
APP-01015,1,Fraud confirmed
APP-01016,1,Fraud confirmed
APP-01017,1,Fraud confirmed
APP-01018,1,Fraud confirmed
APP-01019,1,Fraud confirmed
APP-01020,1,Fraud confirmed
APP-01021,1,Fraud confirmed
APP-01022,1,Fraud confirmed
APP-01023,0,No fraud found
APP-01024,0,No fraud found
APP-01025,1,Fraud confirmed
APP-01026,1,Fraud confirmed
APP-01027,1,Fraud confirmed
APP-01028,1,Fraud confirmed
APP-01029,1,Fraud confirmed
APP-01030,0,No fraud found
APP-01031,1,Fraud confirmed
APP-01032,1,Fraud confirmed
APP-01033,1,Fraud confirmed
APP-01034,1,Fraud confirmed
APP-01035,1,Fraud confirmed
APP-01036,1,Fraud confirmed
APP-01037,1,Fraud confirmed
APP-01038,1,Fraud confirmed
APP-01039,1,Fraud confirmed
APP-01040,0,No fraud found
APP-01041,1,Fraud confirmed
APP-01042,0,No fraud found
APP-01043,1,Fraud confirmed
APP-01044,1,Fraud confirmed
APP-01045,0,No fraud found
APP-01046,0,No fraud found
APP-01047,1,Fraud confirmed
APP-01048,1,Fraud confirmed
APP-01049,0,No fraud found
APP-01050,1,Fraud confirmed
APP-01051,0,No fraud found
APP-01052,1,Fraud confirmed
APP-01053,0,No fraud found
APP-01054,1,Fraud confirmed
APP-01055,1,Fraud confirmed
APP-01056,1,Fraud confirmed
APP-01057,1,Fraud confirmed
APP-01058,1,Fraud confirmed
APP-01059,1,Fraud confirmed
APP-01060,1,Fraud confirmed
APP-01061,0,No fraud found
APP-01062,1,Fraud confirmed
APP-01063,0,No fraud found
APP-01064,0,No fraud found
APP-01065,1,Fraud confirmed
APP-01066,0,No fraud found
APP-01067,1,Fraud confirmed
APP-01068,1,Fraud confirmed
APP-01069,0,No fraud found
APP-01070,1,Fraud confirmed
APP-01071,0,No fraud found
APP-01072,1,Fraud confirmed
APP-01073,1,Fraud confirmed
APP-01074,1,Fraud confirmed
APP-01075,1,Fraud confirmed
APP-01076,1,Fraud confirmed
APP-01077,1,Fraud confirmed
APP-01078,1,Fraud confirmed
APP-01079,0,No fraud found
APP-01080,0,No fraud found
APP-01081,0,No fraud found
APP-01082,1,Fraud confirmed
APP-01083,1,Fraud confirmed
APP-01084,1,Fraud confirmed
APP-01085,1,Fraud confirmed
APP-01086,0,No fraud found
APP-01087,1,Fraud confirmed
APP-01088,1,Fraud confirmed
APP-01089,0,No fraud found
APP-01090,1,Fraud confirmed
APP-01091,0,No fraud found
APP-01092,1,Fraud confirmed
APP-01093,1,Fraud confirmed
APP-01094,1,Fraud confirmed
APP-01095,0,No fraud found
APP-01096,1,Fraud confirmed
APP-01097,1,Fraud confirmed
APP-01098,0,No fraud found
APP-01099,1,Fraud confirmed
APP-01100,1,Fraud confirmed
APP-01101,1,Fraud confirmed
APP-01102,1,Fraud confirmed
APP-01103,0,No fraud found
APP-01104,0,No fraud found
APP-01105,1,Fraud confirmed
APP-01106,1,Fraud confirmed
APP-01107,1,Fraud confirmed
APP-01108,1,Fraud confirmed
APP-01109,1,Fraud confirmed
APP-01110,1,Fraud confirmed
APP-01111,1,Fraud confirmed
APP-01112,0,No fraud found
APP-01113,0,No fraud found
APP-01114,1,Fraud confirmed
APP-01115,1,Fraud confirmed
APP-01116,1,Fraud confirmed
APP-01117,1,Fraud confirmed
APP-01118,1,Fraud confirmed
APP-01119,1,Fraud confirmed
APP-01120,1,Fraud confirmed
APP-01121,0,No fraud found
APP-01122,1,Fraud confirmed
APP-01123,1,Fraud confirmed
APP-01124,0,No fraud found
APP-01125,0,No fraud found
APP-01126,1,Fraud confirmed
APP-01127,0,No fraud found
APP-01128,1,Fraud confirmed
APP-01129,1,Fraud confirmed
APP-01130,1,Fraud confirmed
APP-01131,0,No fraud found
APP-01132,0,No fraud found
APP-01133,1,Fraud confirmed
APP-01134,1,Fraud confirmed
APP-01135,0,No fraud found
APP-01136,0,No fraud found
APP-01137,1,Fraud confirmed
APP-01138,1,Fraud confirmed
APP-01139,0,No fraud found
APP-01140,1,Fraud confirmed
APP-01141,0,No fraud found
APP-01142,1,Fraud confirmed
APP-01143,0,No fraud found
APP-01144,1,Fraud confirmed
APP-01145,1,Fraud confirmed
APP-01146,1,Fraud confirmed
APP-01147,1,Fraud confirmed
APP-01148,0,No fraud found
APP-01149,1,Fraud confirmed
APP-01150,0,No fraud found
APP-01151,1,Fraud confirmed
APP-01152,1,Fraud confirmed
APP-01153,1,Fraud confirmed
APP-01154,1,Fraud confirmed
APP-01155,1,Fraud confirmed
APP-01156,1,Fraud confirmed
APP-01157,0,No fraud found
APP-01158,1,Fraud confirmed
APP-01159,1,Fraud confirmed
APP-01160,1,Fraud confirmed
APP-01161,0,No fraud found
APP-01162,1,Fraud confirmed
APP-01163,1,Fraud confirmed
APP-01164,0,No fraud found
APP-01165,0,No fraud found
APP-01166,1,Fraud confirmed
APP-01167,1,Fraud confirmed
APP-01168,1,Fraud confirmed
APP-01169,1,Fraud confirmed
APP-01170,0,No fraud found
APP-01171,0,No fraud found
APP-01172,0,No fraud found
APP-01173,0,No fraud found
APP-01174,1,Fraud confirmed
APP-01175,0,No fraud found
APP-01176,1,Fraud confirmed
APP-01177,1,Fraud confirmed
APP-01178,1,Fraud confirmed
APP-01179,1,Fraud confirmed
APP-01180,0,No fraud found
APP-01181,0,No fraud found
APP-01182,1,Fraud confirmed
APP-01183,1,Fraud confirmed
APP-01184,1,Fraud confirmed
APP-01185,0,No fraud found
APP-01186,1,Fraud confirmed
APP-01187,0,No fraud found
APP-01188,1,Fraud confirmed
APP-01189,0,No fraud found
APP-01190,0,No fraud found
APP-01191,0,No fraud found
APP-01192,1,Fraud confirmed
APP-01193,1,Fraud confirmed
APP-01194,1,Fraud confirmed
APP-01195,1,Fraud confirmed
APP-01196,0,No fraud found
APP-01197,1,Fraud confirmed
APP-01198,1,Fraud confirmed
APP-01199,1,Fraud confirmed
APP-01200,1,Fraud confirmed
